,name,winPlace,kills,Map,Time
13,vL Biz,5,1,Erangel_Main,2019-03-03T18:16:13Z
14,SavageKing022,22,0,Erangel_Main,2019-03-03T18:16:13Z
15,J Musser,4,0,Erangel_Main,2019-03-03T18:16:13Z
16,L2K BOENDER,23,0,Erangel_Main,2019-03-03T18:16:13Z
17,DBC Dippyy,11,1,Erangel_Main,2019-03-03T18:16:13Z
18,MONEY0306,18,0,Erangel_Main,2019-03-03T18:16:13Z
19,SON OF BORG,7,0,Erangel_Main,2019-03-03T18:16:13Z
20,Spooky SG,1,2,Erangel_Main,2019-03-03T18:16:13Z
21,docshankle,6,0,Erangel_Main,2019-03-03T18:16:13Z
22,L2K Blablets,21,0,Erangel_Main,2019-03-03T18:16:13Z
23,Damita J0,4,0,Erangel_Main,2019-03-03T18:16:13Z
24,XspiredKaleb10,7,2,Erangel_Main,2019-03-03T18:16:13Z
25,Tankindebros,2,1,Erangel_Main,2019-03-03T18:16:13Z
26,kez the pro XD,2,0,Erangel_Main,2019-03-03T18:16:13Z
27,DAYDAY11,6,4,Erangel_Main,2019-03-03T18:16:13Z
28,DreadfulGecko,13,0,Erangel_Main,2019-03-03T18:16:13Z
29,L2K KeeefyG83,21,0,Erangel_Main,2019-03-03T18:16:13Z
30,TREMD0G,16,0,Erangel_Main,2019-03-03T18:16:13Z
31,HOGGZILLAA,22,1,Erangel_Main,2019-03-03T18:16:13Z
32,BCBxTh3 H0SS,15,0,Erangel_Main,2019-03-03T18:16:13Z
33,LittleEast36,10,1,Erangel_Main,2019-03-03T18:16:13Z
34,blintzboy406,1,2,Erangel_Main,2019-03-03T18:16:13Z
35,BJZ10,10,2,Erangel_Main,2019-03-03T18:16:13Z
36,aG BR3AZ,23,0,Erangel_Main,2019-03-03T18:16:13Z
37,OakDawGz,20,4,Erangel_Main,2019-03-03T18:16:13Z
38,Austindoodles,3,1,Erangel_Main,2019-03-03T18:16:13Z
39,xPlatinumV2x,3,4,Erangel_Main,2019-03-03T18:16:13Z
40,JEAZY30,15,0,Erangel_Main,2019-03-03T18:16:13Z
41,J Freddy,12,2,Erangel_Main,2019-03-03T18:16:13Z
42,nD x eXtreIVIe,9,1,Erangel_Main,2019-03-03T18:16:13Z
43,AK47AZ,11,0,Erangel_Main,2019-03-03T18:16:13Z
44,Budkeiser13,15,1,Erangel_Main,2019-03-03T18:16:13Z
45,HAPPYCAMPER712,10,1,Erangel_Main,2019-03-03T18:16:13Z
46,DanDivision,4,0,Erangel_Main,2019-03-03T18:16:13Z
47,Eastyfosheezy87,21,0,Erangel_Main,2019-03-03T18:16:13Z
48,xCAPnCrunch18x,2,6,Erangel_Main,2019-03-03T18:16:13Z
49,ChannyThicc,9,0,Erangel_Main,2019-03-03T18:16:13Z
50,Angry Kelly22,19,0,Erangel_Main,2019-03-03T18:16:13Z
51,MidwayMarlin339,19,0,Erangel_Main,2019-03-03T18:16:13Z
52,Darth Gayder,16,0,Erangel_Main,2019-03-03T18:16:13Z
53,Dablindsquirrel,22,0,Erangel_Main,2019-03-03T18:16:13Z
54,Kaos 821x,18,0,Erangel_Main,2019-03-03T18:16:13Z
55,MannyZcustom,18,0,Erangel_Main,2019-03-03T18:16:13Z
56,aG Formidable,17,0,Erangel_Main,2019-03-03T18:16:13Z
57,DarK UnFoRSaKeN,8,1,Erangel_Main,2019-03-03T18:16:13Z
58,ppdoyouloveme,3,1,Erangel_Main,2019-03-03T18:16:13Z
59,Agent00Slevin,12,1,Erangel_Main,2019-03-03T18:16:13Z
60,YukonSmoke,16,0,Erangel_Main,2019-03-03T18:16:13Z
61,L2K REL999,23,1,Erangel_Main,2019-03-03T18:16:13Z
62,azjames,5,0,Erangel_Main,2019-03-03T18:16:13Z
63,DBC Swoldier,11,1,Erangel_Main,2019-03-03T18:16:13Z
64,BLEE561,8,0,Erangel_Main,2019-03-03T18:16:13Z
65,Drakis Knight,20,0,Erangel_Main,2019-03-03T18:16:13Z
66,subiepnw,16,0,Erangel_Main,2019-03-03T18:16:13Z
67,J LEEZY v2,1,3,Erangel_Main,2019-03-03T18:16:13Z
68,ltsSCOOBY,13,2,Erangel_Main,2019-03-03T18:16:13Z
69,DBC Gunit,11,0,Erangel_Main,2019-03-03T18:16:13Z
70,X DarthSucks X,8,0,Erangel_Main,2019-03-03T18:16:13Z
71,L2K Blackers09,21,0,Erangel_Main,2019-03-03T18:16:13Z
72,lxxKHAOSxxl,14,0,Erangel_Main,2019-03-03T18:16:13Z
73,TippierBuckle95,9,1,Erangel_Main,2019-03-03T18:16:13Z
74,Sleeeeezy FX,21,0,Erangel_Main,2019-03-03T18:16:13Z
75,FearTheWine,5,0,Erangel_Main,2019-03-03T18:16:13Z
76,Way2Slippery,20,1,Erangel_Main,2019-03-03T18:16:13Z
77,GhostlyNinja69,14,2,Erangel_Main,2019-03-03T18:16:13Z
